n_policy,pack_PPO_LunarLanderContinuous1_500,pack_PPO_LunarLanderContinuous1_250,pack_PPO_LunarLanderContinuous1_100,pack_PPO_LunarLanderContinuous1_50,pack_PPO_LunarLanderContinuous1_25,pack_PPO_LunarLanderContinuous1_5,pack_PPO_LunarLanderContinuous3_500,pack_PPO_LunarLanderContinuous3_250,pack_PPO_LunarLanderContinuous3_100,pack_PPO_LunarLanderContinuous3_50,pack_PPO_LunarLanderContinuous3_25,pack_PPO_LunarLanderContinuous3_5,pack_PPO_LunarLanderContinuous4_500,pack_PPO_LunarLanderContinuous4_250,pack_PPO_LunarLanderContinuous4_100,pack_PPO_LunarLanderContinuous4_50,pack_PPO_LunarLanderContinuous4_25,pack_PPO_LunarLanderContinuous4_5,pack_PPO_LunarLanderContinuous5_500,pack_PPO_LunarLanderContinuous5_250,pack_PPO_LunarLanderContinuous5_100,pack_PPO_LunarLanderContinuous5_50,pack_PPO_LunarLanderContinuous5_25,pack_PPO_LunarLanderContinuous5_5,pack_PPO_LunarLanderContinuous6_500,pack_PPO_LunarLanderContinuous6_250,pack_PPO_LunarLanderContinuous6_100,pack_PPO_LunarLanderContinuous6_50,pack_PPO_LunarLanderContinuous6_25,pack_PPO_LunarLanderContinuous6_5,pack_PPO_LunarLanderContinuous7_500,pack_PPO_LunarLanderContinuous7_250,pack_PPO_LunarLanderContinuous7_100,pack_PPO_LunarLanderContinuous7_50,pack_PPO_LunarLanderContinuous7_25,pack_PPO_LunarLanderContinuous7_5,pack_PPO_LunarLanderContinuous8_500,pack_PPO_LunarLanderContinuous8_250,pack_PPO_LunarLanderContinuous8_100,pack_PPO_LunarLanderContinuous8_50,pack_PPO_LunarLanderContinuous8_25,pack_PPO_LunarLanderContinuous8_5,pack_PPO_LunarLanderContinuous9_500,pack_PPO_LunarLanderContinuous9_250,pack_PPO_LunarLanderContinuous9_100,pack_PPO_LunarLanderContinuous9_50,pack_PPO_LunarLanderContinuous9_25,pack_PPO_LunarLanderContinuous9_5,pack_PPO_LunarLanderContinuous10_500,pack_PPO_LunarLanderContinuous10_250,pack_PPO_LunarLanderContinuous10_100,pack_PPO_LunarLanderContinuous10_50,pack_PPO_LunarLanderContinuous10_25,pack_PPO_LunarLanderContinuous10_5,pack_PPO_LunarLanderContinuous11_500,pack_PPO_LunarLanderContinuous11_250,pack_PPO_LunarLanderContinuous11_100,pack_PPO_LunarLanderContinuous11_50,pack_PPO_LunarLanderContinuous11_25,pack_PPO_LunarLanderContinuous11_5,pack_PPO_LunarLanderContinuous12_500,pack_PPO_LunarLanderContinuous12_250,pack_PPO_LunarLanderContinuous12_100,pack_PPO_LunarLanderContinuous12_50,pack_PPO_LunarLanderContinuous12_25,pack_PPO_LunarLanderContinuous12_5,pack_PPO_LunarLanderContinuous13_500,pack_PPO_LunarLanderContinuous13_250,pack_PPO_LunarLanderContinuous13_100,pack_PPO_LunarLanderContinuous13_50,pack_PPO_LunarLanderContinuous13_25,pack_PPO_LunarLanderContinuous13_5,pack_PPO_LunarLanderContinuous14_500,pack_PPO_LunarLanderContinuous14_250,pack_PPO_LunarLanderContinuous14_100,pack_PPO_LunarLanderContinuous14_50,pack_PPO_LunarLanderContinuous14_25,pack_PPO_LunarLanderContinuous14_5,pack_PPO_LunarLanderContinuous15_500,pack_PPO_LunarLanderContinuous15_250,pack_PPO_LunarLanderContinuous15_100,pack_PPO_LunarLanderContinuous15_50,pack_PPO_LunarLanderContinuous15_25,pack_PPO_LunarLanderContinuous15_5,pack_PPO_LunarLanderContinuous16_500,pack_PPO_LunarLanderContinuous16_250,pack_PPO_LunarLanderContinuous16_100,pack_PPO_LunarLanderContinuous16_50,pack_PPO_LunarLanderContinuous16_25,pack_PPO_LunarLanderContinuous16_5,pack_PPO_LunarLanderContinuous17_500,pack_PPO_LunarLanderContinuous17_250,pack_PPO_LunarLanderContinuous17_100,pack_PPO_LunarLanderContinuous17_50,pack_PPO_LunarLanderContinuous17_25,pack_PPO_LunarLanderContinuous17_5,pack_PPO_LunarLanderContinuous18_500,pack_PPO_LunarLanderContinuous18_250,pack_PPO_LunarLanderContinuous18_100,pack_PPO_LunarLanderContinuous18_50,pack_PPO_LunarLanderContinuous18_25,pack_PPO_LunarLanderContinuous18_5,pack_PPO_LunarLanderContinuous19_500,pack_PPO_LunarLanderContinuous19_250,pack_PPO_LunarLanderContinuous19_100,pack_PPO_LunarLanderContinuous19_50,pack_PPO_LunarLanderContinuous19_25,pack_PPO_LunarLanderContinuous19_5,pack_PPO_LunarLanderContinuous20_500,pack_PPO_LunarLanderContinuous20_250,pack_PPO_LunarLanderContinuous20_100,pack_PPO_LunarLanderContinuous20_50,pack_PPO_LunarLanderContinuous20_25,pack_PPO_LunarLanderContinuous20_5,pack_PPO_LunarLanderContinuous21_500,pack_PPO_LunarLanderContinuous21_250,pack_PPO_LunarLanderContinuous21_100,pack_PPO_LunarLanderContinuous21_50,pack_PPO_LunarLanderContinuous21_25,pack_PPO_LunarLanderContinuous21_5
20,0.512420038994902,12.217592344099945,30.04112900626321,34.292478215092544,46.72222213789122,53.12124258450931,6.000259408305333,21.79214396087905,43.976190289257936,65.45452571759661,76.28403364663478,115.71771436252166,4.160742643068814,29.528694806966943,50.22959085048406,62.25326598329149,63.75160773839627,63.387087952089495,-1.1911754359620572,11.051230303558484,34.53167378490087,45.307293198849806,49.35748413113412,69.55159795947839,7.045582636445477,15.446665356967149,22.745798391932585,33.17508655026017,32.403135866413066,41.73556447161828,2.937065228466079,18.61531600798804,33.235381934178925,40.36871652466689,54.86469556663482,88.24295475013787,21.06080322535032,43.69036616081291,56.01481677646493,75.37106847655521,89.96006815294004,93.89644384122512,1.7378288541959082,16.36543672259857,34.99616942158038,40.74845833824344,54.41029346793657,89.94463999325963,20.64759436807337,39.65421455592188,67.07017764951107,83.90754915981721,91.52606197116592,128.59217998722596,7.314861228484224,28.456086875121635,35.817032906759266,39.98517802092436,43.78251729063806,78.46980182620173,18.850181676662302,38.264780324913644,61.20430949099915,64.62404156613076,82.31037922922522,84.07416342408251,-5.209986339563046,1.373924850803567,11.105183322607626,15.532971734460151,20.95447036844387,44.136430483357984,10.238702367800462,23.75627694002071,37.960588422086495,46.92956978361501,51.833247436129895,70.40928712048917,-1.148751331412711,9.126224411092894,17.080393743661087,24.12981120286282,32.42933037741841,28.07988315623661,23.02990872037324,46.18784231103054,74.43945877989933,82.27100726639445,82.10986304017744,106.87259962440002,-7.236371943665283,-0.543184126610111,12.192968127988278,29.28912087840843,37.97313465846819,26.09278573980555,-3.409924040041756,-0.4904972251693707,17.10130778342605,30.082883868113345,40.94916361249751,57.92544139607344,-12.587281011093278,-11.614584119399272,-2.2971954019494296,3.630398078812868,5.163937648276915,21.15871635118965,20.27900056135401,49.04092022628439,82.2296201568908,103.3099591123495,101.98692346002244,128.40115031087845,13.6555692034618,29.74812952669467,35.893458430314205,42.26160521811136,44.26339615055826,53.04838500948099
21,2.774190654005352,16.459288072332534,35.84464185787357,42.72475115993846,49.69823670076643,53.12124258450931,10.166197013541437,27.641726313773702,62.670504349427645,80.3296921934026,89.00783321453083,115.71771436252166,9.037134813762885,34.31743934025954,56.069267453198336,70.57346053180689,78.21888926172156,119.45088109909992,1.870801574389636,16.676869396648392,42.424508701497054,56.23995189196583,57.33937862035586,78.76039106187527,8.389001955487132,18.670285177864148,25.740316175845763,33.17508655026017,35.900481469479125,47.23832294531167,5.673145441846842,22.1980788055889,36.83341414105264,42.85199078161671,54.86469556663482,106.19819811855852,24.938754509141205,49.45569866936237,67.96042681111108,75.37106847655521,89.96006815294004,93.89644384122512,5.150363901311462,21.566722727628505,47.42616962580385,61.89825199882296,82.78916493232624,89.94463999325963,25.02647566151685,47.042811043819405,81.62099358021378,102.1665749755438,121.52312876963047,128.59217998722596,11.7454309556402,32.59205622167253,42.47703751830086,54.82429010068358,62.22923279744311,78.46980182620173,22.570921124860494,42.97734018309798,64.86869764597076,72.99273466669912,82.31037922922522,91.83706623013131,-2.8400404767384946,9.38111011358997,15.926110128738232,15.532971734460151,20.95447036844387,44.136430483357984,13.07340442733781,27.96196979879865,44.18365796415956,52.71499517463002,59.0776829931722,70.40928712048917,2.5790423921044447,15.751151232929512,32.310003968956565,59.325813157808206,69.04988277208052,94.85340068654914,27.84068838719013,52.47768250259034,78.36377735529454,87.8493363186172,95.99579992706698,106.87259962440002,-4.640636231529112,2.8217515591513367,20.743171538415336,29.28912087840843,37.97313465846819,26.09278573980555,-0.6349820162796613,3.346124892445556,30.889172419948768,44.840817204563066,55.60381895762053,57.92544139607344,-12.265365855786191,-10.02897375515288,0.9496138652385752,3.630398078812868,13.7220027164987,21.15871635118965,25.007222829012008,55.88734381885081,91.45138656910356,103.3099591123495,101.98692346002244,128.40115031087845,17.78786443199583,35.06423099672679,44.16463495070479,50.98274117087131,57.858237742402125,53.04838500948099
22,6.121277750839521,22.31992586226541,44.42786669844066,57.370282927067095,67.07813903780348,103.61976529075471,13.845646088006974,35.35298062690437,69.23186055766162,80.3296921934026,89.00783321453083,115.71771436252166,13.803128607670278,41.02592569438868,70.74169878738805,84.8721993045368,97.13291857443008,119.45088109909992,5.828335795843002,24.12974586025297,53.27901585664365,62.3465064126801,66.68031372469865,95.5894031710348,10.315176379826736,21.0881480606806,27.9147561906746,35.195663229617786,47.341359765750674,47.23832294531167,9.086012569316946,26.657332370777223,45.53101640779118,54.306893099670354,64.65764177339501,106.19819811855852,28.28186026379712,54.12126588765884,80.6013541373415,88.55995015010323,89.96006815294004,93.89644384122512,8.03333821980222,26.1673399393972,48.48491691195424,69.33814143770127,82.78916493232624,89.94463999325963,29.361375822211567,54.57958577814997,91.96270473230284,110.11271391560662,121.52312876963047,133.91345316103252,15.199054808653669,38.3152649304775,53.4909062441025,67.91011563921897,91.71456673341622,102.14157958925207,26.23720450699111,49.903223455580935,70.69130901596735,74.50851360850241,93.62266363376636,133.74443944479427,-0.2711924407242995,12.276928737394597,27.37637011811377,27.82542710176246,39.223194452718815,44.136430483357984,16.929501611023007,33.796780211332525,56.65715047669976,67.96197107136467,80.30625341099571,79.83388801718829,5.274357099269768,18.495346413832355,45.73854071370637,61.59889128472198,69.04988277208052,94.85340068654914,31.85157824526,57.17839843052064,83.96058310974863,87.8493363186172,95.99579992706698,106.87259962440002,-0.7847310523925044,8.127934479463322,28.04952375952925,29.28912087840843,37.97313465846819,26.09278573980555,2.71976808432483,8.702146823636065,37.89777092887746,51.467852244312816,55.60381895762053,57.92544139607344,-11.13965398269541,-6.889598684070703,6.118476577627884,7.895821438516878,20.26354931191453,35.86255277634628,30.025155186617265,62.28207702569884,97.67918462448888,103.3099591123495,101.98692346002244,128.40115031087845,20.62301946157856,36.06672810945421,44.16463495070479,50.98274117087131,57.858237742402125,53.04838500948099
23,9.828973936669978,29.091293392543808,53.54341657633918,71.91821703127418,87.70040339274856,103.61976529075471,18.80657958168183,43.40441633914543,77.408287986274,85.80291350826793,102.75750166300364,132.58687544566928,18.53064906416693,48.25718029251036,84.05321813898213,101.77202522057205,106.4040570010936,120.32547643554572,9.035715257784837,27.825502320955486,61.18623691687255,68.62488891001158,81.95928908607588,95.5894031710348,11.215377250770048,21.430638226033302,27.9147561906746,35.68078668209542,47.341359765750674,73.57806856552051,11.59020959457633,29.790712789480896,49.44578092962442,54.63971919518419,64.65764177339501,106.19819811855852,32.35886431619335,59.420485689088,87.32906496570857,97.95510162250726,104.69943857629634,107.19338024693062,11.475140326870775,31.69073834576447,59.15981665784926,69.33814143770127,82.78916493232624,89.94463999325963,33.6364661389706,62.25060498879714,99.6254389684854,110.11271391560662,121.52312876963047,133.91345316103252,18.97524781474248,43.53383045951229,66.27386251908246,86.61200924192813,103.16749338907287,104.31050462951244,30.20857654600887,56.91401370573695,77.09738000498176,93.59706377835757,107.67888409702776,133.74443944479427,2.454651633549416,18.13594205939802,30.81695206834665,47.08839082831312,52.35534533238402,83.14313476107782,20.027509177654807,38.58088133776801,61.98452956841138,76.41142349332804,80.30625341099571,79.83388801718829,8.540033984901413,23.42470791644427,51.048020368342925,72.74549674582067,69.04988277208052,94.85340068654914,35.83317354627846,61.50963104659704,84.55864057888431,87.8493363186172,95.99579992706698,106.87259962440002,1.1909171671347067,13.031200383330813,30.927971064741868,32.47513802971458,37.97313465846819,59.166333065135404,4.965555284135967,13.6964936944972,46.16756502239979,51.467852244312816,55.60381895762053,57.92544139607344,-9.401475395212824,-3.638232425605629,6.988312076487132,20.87030232044752,22.42883761878824,57.852567490341606,35.425727241789936,70.10554620845866,98.1059368850105,103.3099591123495,102.80335925165866,131.26939557865208,23.30500810140821,38.25574294746231,45.81442192852264,50.98274117087131,57.858237742402125,53.04838500948099
24,12.814298599314148,34.6766302842929,62.15487989727753,83.29314254289653,87.70040339274856,104.44964518064516,22.853931091825345,49.68230311526886,84.6015156596219,91.8667585272824,102.75750166300364,132.58687544566928,22.534213958711494,53.36516788310345,87.65116325528088,101.77202522057205,106.4040570010936,120.32547643554572,11.05321538547513,32.79415115576963,61.18623691687255,68.62488891001158,81.95928908607588,95.5894031710348,12.89510388817442,22.12845436066172,29.55553901057961,35.68078668209542,47.341359765750674,73.57806856552051,15.246876630617248,34.293129839532746,55.70228729974608,64.38432400500974,64.65764177339501,106.19819811855852,36.812946088709054,65.55582413711161,91.47134696640131,111.15260963849283,115.9597032803716,124.67230374286882,14.79476442786588,37.75347292355169,67.8161903212318,77.48322188363154,85.86765343751567,89.94463999325963,39.17336403321078,70.50457215447213,105.75601881920376,110.11271391560662,121.52312876963047,133.91345316103252,23.16131858536965,47.702469861902486,76.28459161795085,97.74489313521812,103.16749338907287,104.31050462951244,33.81406513443166,62.59026674050912,87.14803859268093,101.86420021820516,107.67888409702776,133.74443944479427,4.627574808622201,21.92046264353,37.14801300794093,52.781579946148014,66.12520926378944,83.14313476107782,23.3694013027788,43.48529323406844,67.41890642909402,76.41142349332804,83.54939763630142,79.83388801718829,12.917320765039715,29.732217819409502,64.46724994869719,73.80590027630028,87.17244754154287,94.85340068654914,40.30361129868865,67.6952231499955,88.84583189104548,91.38592765484584,95.99579992706698,107.85599357996544,3.316030923375227,15.513333813632196,30.927971064741868,33.98416863115796,37.97313465846819,66.98850738849141,8.326590955778382,21.49553154127604,57.86536823788898,60.20848931033092,79.23064127572084,67.58610186786682,-6.694482563344209,1.296163182535749,14.030012297708168,34.12172471595259,50.20151532407908,57.852567490341606,40.05566002904016,77.99770415456256,101.5363248792883,104.55540905164138,112.7881934346179,131.26939557865208,27.60642166697293,42.31720047165481,47.90118321400132,56.15260080376691,60.77479394527545,58.63110145466635
25,16.611445300430706,42.222903740287656,73.0682264990926,84.9823666140702,88.81317107531562,104.44964518064516,27.18241165615249,55.99916450271071,91.68745615399204,103.02264241838726,107.6151752325266,132.58687544566928,27.51279015756202,61.33852241595896,97.28683307761926,109.15277140379231,114.32442842849063,142.82357442959037,13.895108351666916,37.04230318831491,66.76966027051424,69.61716243365689,81.95928908607588,95.5894031710348,14.35351943214356,23.56245841199751,33.04107911596411,35.68078668209542,47.341359765750674,73.57806856552051,19.13888809378044,39.21473906760417,61.926194735952265,68.2953139338517,83.3852655897896,132.34384636282047,41.30587741466336,71.97551880506563,102.76161777073338,116.28184710796424,118.38617803835542,124.67230374286882,18.7682247771768,44.30795284464543,74.70037054960096,81.11522868766384,85.86765343751567,90.13742642891904,44.39102231638017,77.7553561298713,108.40114179460994,110.11271391560662,121.52312876963047,133.91345316103252,28.368022005471843,53.9221519916203,87.16607813853462,107.44432947726249,105.43767708324354,135.41855812229807,37.8978634770776,68.99519743767067,90.21019228005729,103.15328517347916,107.67888409702776,133.74443944479427,7.882581393022832,26.89404003524249,48.19275873017224,65.75545304579013,70.239206644988,83.14313476107782,27.85437376356824,50.15312817182965,78.45744823002113,81.48693606754884,93.792807918502,117.17046892583676,17.119411031348733,35.90986774781134,74.0332717186538,81.23850405295497,87.17244754154287,111.38331547808777,43.70728792173467,73.01499316011527,88.84583189104548,91.38592765484584,95.99579992706698,107.85599357996544,4.59824685280944,17.48851817469293,30.927971064741868,33.98416863115796,37.97313465846819,66.98850738849141,10.849827275469718,28.222790833790743,62.21247178408601,70.20682404761217,83.86436424463668,109.65886873013804,-4.356484496671504,7.159476417203698,31.67487095431992,48.36734556085881,50.20151532407908,57.852567490341606,45.8184598655781,84.68345044594916,102.23147016865074,112.20508849334766,112.7881934346179,131.26939557865208,31.220088400298945,45.21452409641158,52.0186723204744,65.93789035035581,69.1005637112091,66.16033970880817
26,20.14755196163677,47.23922294926722,80.40375286709249,89.18273558691243,90.57208067072926,104.44964518064516,31.474398449234368,64.03283380959259,95.88779590578416,103.02264241838726,107.91704222814003,132.58687544566928,31.338196408235422,68.9774068515797,105.9741145498966,111.0892411752332,116.04263913704024,142.82357442959037,17.045396055144014,42.29245437403768,70.80195261564211,73.89674941455394,82.92301646024798,95.5894031710348,16.48395003317147,26.56555732348597,37.11581377234548,39.83664576478681,59.99034296893981,73.57806856552051,23.51347426184516,46.7766854112267,74.41609379774579,95.3859410987586,107.57506770228864,132.34384636282047,46.1430130818425,77.38857037506381,105.94800711900952,116.28184710796424,118.38617803835542,124.67230374286882,21.55167096020124,48.580419220932846,74.70037054960096,81.11522868766384,85.86765343751567,102.78634386710472,48.9560046804654,85.28071784177436,109.28079507592072,114.84144031540674,124.54959793590126,133.91345316103252,32.93649149072796,60.2696565746064,100.27272204434696,109.61440556004052,116.92791465123848,135.41855812229807,42.8543041353618,75.22670065501734,102.44547097424552,106.96897062757988,107.88281859806776,133.74443944479427,10.960765891098118,30.76209350366524,54.83144611060654,65.75545304579013,70.239206644988,98.5709705224086,31.56109281784681,55.54248919071912,85.94937947444677,96.69030104046524,102.83616681204104,123.00543735375396,20.07509384979841,40.86033512275999,75.6137185378979,81.80947413943534,91.60089380926968,111.38331547808777,47.6774834165428,77.41933251950677,90.76890731507274,97.70117803496927,100.90471978077709,107.85599357996544,7.828324792658633,22.37705507078012,32.153543987821216,45.23682500775067,37.97313465846819,87.86141411273857,14.196341935723964,36.28894056498961,68.5563610553226,85.89232982033012,84.95469706953288,109.65886873013804,-2.1889819312891934,13.549595791840083,38.00155564643472,49.1129205482261,56.46721869291214,70.41714408226544,49.60547542255431,90.95672857650544,107.1338109106464,112.70089193495384,112.7881934346179,131.26939557865208,35.06316688488101,49.88164733820086,64.74428466734163,72.82432643091327,74.66533460047896,67.32498628035755
27,23.08728143319492,53.21986439534342,85.4930380946996,89.18273558691243,90.57208067072926,104.44964518064516,34.15923098562916,67.63111516335677,96.36795401487602,103.02264241838726,107.91704222814003,132.58687544566928,36.141774121826096,75.40475081189363,108.0982962388987,115.28471028315543,120.97734377356076,142.82357442959037,20.802364898039865,50.09557243976456,77.28801468239868,89.55399993068433,93.03023522810582,98.90581054521316,18.52564161420304,29.530289917222586,40.40144337792916,54.12709560981137,62.59558291102992,73.57806856552051,27.72328035555412,52.00421441642393,79.95873990256378,95.3859410987586,107.57506770228864,137.78144496551104,50.05055149566546,81.54373213655302,112.17790451840084,116.28184710796424,118.38617803835542,124.67230374286882,24.19381279719097,52.787253184076135,74.70037054960096,81.11522868766384,85.86765343751567,102.78634386710472,53.89071960413695,91.8855108930374,113.02861223648895,122.900370110699,128.97417048229923,133.91345316103252,37.10976405598815,66.79159636133645,109.1281985257729,120.34903369537108,121.32270547900887,135.41855812229807,47.16235783885409,81.97797241549648,111.91079173267732,117.59412537917736,118.19724855846496,138.36961116273014,13.925231419551034,36.471335953035016,65.38064409668854,75.927737628705,92.94656651029656,98.5709705224086,35.066476737943084,61.089837934707,87.19508521990117,96.69030104046524,102.83616681204104,123.00543735375396,24.78084894532624,48.136549500936965,82.69762938390774,85.39568298279846,92.17396623277637,111.38331547808777,51.16500373517708,83.53474147336284,95.43328524894233,97.81145022779026,104.81285426449554,120.70388102097786,11.76467442749154,31.26700977769728,48.64919899165103,56.5397961553817,82.56868302411632,87.86141411273857,17.093238603956387,43.18555520762,73.59493564618137,86.961996579895,86.91777460926161,109.65886873013804,0.3659526247378071,17.815398058648427,45.49114748808206,56.84340959194611,59.95500686746673,88.32585426360893,55.76878368911541,97.72523410084035,116.87854302300478,124.28436207348568,137.4721812984334,134.92322899736465,38.65386823392704,55.3932995705016,71.53126364306125,72.82432643091327,74.73113739211549,73.56117883909901
28,27.305912978832268,59.2965500843152,86.67509691692149,90.26427992262238,93.30646919612424,104.4634761492096,37.965029017379415,74.9569707638796,96.6551779590038,103.02264241838726,107.91704222814003,132.58687544566928,41.30222856588176,80.69450091168835,112.23466064382391,115.3165498838555,120.97734377356076,142.82357442959037,24.620889474304075,57.42340427202233,80.41118880984999,91.20521518604308,93.03023522810582,98.90581054521316,20.818155416221607,33.94008363413183,47.66331481453397,68.11805202011077,73.47064008591347,74.01741775010596,32.29718838571073,61.270482614664495,90.99026495190628,98.58157889322248,109.57989341909504,137.78144496551104,54.63466656069594,87.34957634783306,116.27207608043622,118.8016809147393,119.06685301754212,124.67230374286882,28.53594246344947,58.57449506077944,75.0522563997399,81.11522868766384,87.50993325722592,102.78634386710472,58.26800777634416,99.03942831244544,117.67232252388057,127.57007987157924,128.97417048229923,133.91345316103252,41.27331139648998,72.01266395191018,111.05738878838636,120.34903369537108,121.32270547900887,135.41855812229807,51.578836403579785,86.51353027098033,112.77759679980409,118.93204566590224,125.10952843913464,138.36961116273014,17.35687139687103,41.974243505724935,73.54054651384759,87.4036381938756,92.94656651029656,98.5709705224086,38.43518022755388,66.31151745835392,90.58779267005652,97.78052411979822,105.17228075525723,123.00543735375396,29.18741861942941,57.63711865077372,90.32861096282484,96.23460587294346,101.25521693998802,111.38331547808777,55.2643634263585,88.05895333112079,100.68735422687118,112.97761209614993,119.55656032106717,124.732172191083,15.450162306760012,38.640391631287294,57.48591211874811,82.16812246549289,86.0028214363177,109.2741055877239,20.702130360787688,50.93060883040793,80.54348502214768,87.91912282332476,86.91777460926161,109.65886873013804,3.009306981344389,22.01517075660101,55.02876330280496,61.12295511868348,59.95500686746673,88.32585426360893,60.2113718778447,103.32270973233122,123.68333312417744,128.01738886116993,140.51461549128047,153.166152826068,43.281838271610255,60.18445836363437,73.85572576427089,74.63987388253202,76.83764146081849,73.56117883909901
29,30.47334432492673,63.87176196194552,90.0153132924119,91.85103126476686,98.42257034583513,111.8901625331986,42.900951901954286,82.65652509147549,97.87605782451766,103.02264241838726,107.91704222814003,132.58687544566928,45.6712414853444,85.82977976828238,112.23466064382391,115.3165498838555,120.97734377356076,142.82357442959037,28.75961470382708,63.06234354500917,84.40992107723672,93.50050859444062,93.03023522810582,98.90581054521316,23.18676024675869,39.43870152222594,56.8451701294666,72.77326952263341,75.7720012599598,99.40735198865876,36.762184437941386,67.33099683035663,98.97876027171895,104.70614274625474,109.57989341909504,137.78144496551104,59.74733694698557,94.36594874674124,119.38454380446278,124.14201166034444,125.8387253868307,164.48428368998393,33.01740067436009,65.31858003433743,76.81000571670751,91.3261392587152,95.22479284489368,109.49343240342932,62.584624116094425,105.26824061902796,122.49126565930142,129.45557761500044,128.97417048229923,149.61718193040142,45.15472876438945,77.39484864534283,111.85974308081524,120.34903369537108,121.32270547900887,135.41855812229807,55.06588972418352,91.31849475588474,114.8089033071444,122.60461746840453,125.10952843913464,138.36961116273014,21.395244786600003,48.12469539300666,76.51526219322439,88.76976710285479,92.94656651029656,98.5709705224086,41.181839066065,70.52654311469631,93.11739740035968,97.78052411979822,105.17228075525723,124.62920696492948,33.59974607764933,65.70587487635301,95.3662006356652,102.3731827166558,101.25521693998802,111.38331547808777,58.88139217814053,90.6302179518495,106.29344922674107,114.88572041851288,119.55656032106717,128.38244790433674,19.4533103973391,45.06027495658132,67.90796861815517,94.08668172838604,106.48716569797377,119.433235193331,23.042173175377343,55.84510951866863,82.496798513182,87.91912282332476,86.91777460926161,109.65886873013804,5.862597657543725,28.48398567693358,57.59926592475445,66.08561130128278,78.45458985932873,88.32585426360893,65.27503103683524,109.06809496304082,124.63810374288629,135.56035648302193,140.51461549128047,153.166152826068,48.04268199431405,63.32785429315263,73.85572576427089,74.63987388253202,76.83764146081849,73.56117883909901
30,34.89334062812685,69.49928432966549,91.96501797387756,98.77080932500772,99.64755489003262,120.11935482258268,47.30834170122174,88.65198836901521,102.17890864958204,110.91509893026434,117.0943673465092,134.49519204719218,51.37757537411217,90.75469182971128,113.82584810032397,115.3165498838555,120.97734377356076,142.82357442959037,32.37290735103086,69.5052366267344,92.90040168246364,98.12458236269264,99.61064907248895,98.90581054521316,25.764087271746146,43.04959972065384,68.94704978167833,76.04598058928495,77.19023437230484,99.40735198865876,41.37907243990997,73.45064193084902,105.83758772097364,107.41799475772206,115.32862445849732,137.78144496551104,62.83830019846207,99.32633974475527,119.38454380446278,124.14201166034444,125.8387253868307,164.48428368998393,36.82023531986185,68.30823487554504,80.30180342004944,94.90603235004112,97.58081503532289,109.49343240342932,67.10007532207374,109.92298584231462,128.7126548796615,134.73741921821,143.57237524854648,149.61718193040142,49.99136520910305,84.23906877254942,117.81091378001196,120.34903369537108,128.12405951902488,135.9158562193392,58.79088468874305,94.29440776981028,115.72344621793836,122.60461746840453,125.10952843913464,138.36961116273014,25.25799204779592,54.3127394207127,83.53266021045214,89.5610091441173,92.94656651029656,102.19317144924426,45.61264220334746,77.95250479719377,99.8742287233879,102.41359057252544,124.02539766389992,130.49024441375224,37.56036379769287,74.88878147053764,101.31850919040426,105.6792434930664,107.274939798833,111.38331547808777,63.12256782752524,96.3319753570114,110.76920036603236,124.70059966025624,128.24152700874757,134.55231069661824,22.97255616566832,50.15693209299083,81.38949828008047,94.08668172838604,106.48716569797377,119.433235193331,26.709130801249888,62.18770787577234,83.99957482941677,87.91912282332476,93.97475556611788,109.65886873013804,8.811257300019754,34.963852895997256,63.91791989532268,68.36376988055792,78.45458985932873,88.32585426360893,69.63871589791056,113.5937654348735,131.86680219074788,139.2581228179494,142.4158539276907,157.93649965046788,51.77998339067253,67.94198026341418,75.08012912841156,74.63987388253202,79.48299480596063,89.44594875888433
