n_policy,pack_PPO_BipedalWalker1_500,pack_PPO_BipedalWalker1_250,pack_PPO_BipedalWalker1_100,pack_PPO_BipedalWalker1_50,pack_PPO_BipedalWalker1_25,pack_PPO_BipedalWalker1_5,pack_PPO_BipedalWalker2_500,pack_PPO_BipedalWalker2_250,pack_PPO_BipedalWalker2_100,pack_PPO_BipedalWalker2_50,pack_PPO_BipedalWalker2_25,pack_PPO_BipedalWalker2_5,pack_PPO_BipedalWalker3_500,pack_PPO_BipedalWalker3_250,pack_PPO_BipedalWalker3_100,pack_PPO_BipedalWalker3_50,pack_PPO_BipedalWalker3_25,pack_PPO_BipedalWalker3_5,pack_PPO_BipedalWalker4_500,pack_PPO_BipedalWalker4_250,pack_PPO_BipedalWalker4_100,pack_PPO_BipedalWalker4_50,pack_PPO_BipedalWalker4_25,pack_PPO_BipedalWalker4_5,pack_PPO_BipedalWalker5_500,pack_PPO_BipedalWalker5_250,pack_PPO_BipedalWalker5_100,pack_PPO_BipedalWalker5_50,pack_PPO_BipedalWalker5_25,pack_PPO_BipedalWalker5_5,pack_PPO_BipedalWalker6_500,pack_PPO_BipedalWalker6_250,pack_PPO_BipedalWalker6_100,pack_PPO_BipedalWalker6_50,pack_PPO_BipedalWalker6_25,pack_PPO_BipedalWalker6_5,pack_PPO_BipedalWalker7_500,pack_PPO_BipedalWalker7_250,pack_PPO_BipedalWalker7_100,pack_PPO_BipedalWalker7_50,pack_PPO_BipedalWalker7_25,pack_PPO_BipedalWalker7_5,pack_PPO_BipedalWalker8_500,pack_PPO_BipedalWalker8_250,pack_PPO_BipedalWalker8_100,pack_PPO_BipedalWalker8_50,pack_PPO_BipedalWalker8_25,pack_PPO_BipedalWalker8_5,pack_PPO_BipedalWalker9_500,pack_PPO_BipedalWalker9_250,pack_PPO_BipedalWalker9_100,pack_PPO_BipedalWalker9_50,pack_PPO_BipedalWalker9_25,pack_PPO_BipedalWalker9_5,pack_PPO_BipedalWalker10_500,pack_PPO_BipedalWalker10_250,pack_PPO_BipedalWalker10_100,pack_PPO_BipedalWalker10_50,pack_PPO_BipedalWalker10_25,pack_PPO_BipedalWalker10_5,pack_PPO_BipedalWalker11_500,pack_PPO_BipedalWalker11_250,pack_PPO_BipedalWalker11_100,pack_PPO_BipedalWalker11_50,pack_PPO_BipedalWalker11_25,pack_PPO_BipedalWalker11_5,pack_PPO_BipedalWalker12_500,pack_PPO_BipedalWalker12_250,pack_PPO_BipedalWalker12_100,pack_PPO_BipedalWalker12_50,pack_PPO_BipedalWalker12_25,pack_PPO_BipedalWalker12_5,pack_PPO_BipedalWalker13_500,pack_PPO_BipedalWalker13_250,pack_PPO_BipedalWalker13_100,pack_PPO_BipedalWalker13_50,pack_PPO_BipedalWalker13_25,pack_PPO_BipedalWalker13_5,pack_PPO_BipedalWalker14_500,pack_PPO_BipedalWalker14_250,pack_PPO_BipedalWalker14_100,pack_PPO_BipedalWalker14_50,pack_PPO_BipedalWalker14_25,pack_PPO_BipedalWalker14_5,pack_PPO_BipedalWalker15_500,pack_PPO_BipedalWalker15_250,pack_PPO_BipedalWalker15_100,pack_PPO_BipedalWalker15_50,pack_PPO_BipedalWalker15_25,pack_PPO_BipedalWalker15_5,pack_PPO_BipedalWalker16_500,pack_PPO_BipedalWalker16_250,pack_PPO_BipedalWalker16_100,pack_PPO_BipedalWalker16_50,pack_PPO_BipedalWalker16_25,pack_PPO_BipedalWalker16_5,pack_PPO_BipedalWalker18_500,pack_PPO_BipedalWalker18_250,pack_PPO_BipedalWalker18_100,pack_PPO_BipedalWalker18_50,pack_PPO_BipedalWalker18_25,pack_PPO_BipedalWalker18_5,pack_PPO_BipedalWalker19_500,pack_PPO_BipedalWalker19_250,pack_PPO_BipedalWalker19_100,pack_PPO_BipedalWalker19_50,pack_PPO_BipedalWalker19_25,pack_PPO_BipedalWalker19_5,pack_PPO_BipedalWalker20_500,pack_PPO_BipedalWalker20_250,pack_PPO_BipedalWalker20_100,pack_PPO_BipedalWalker20_50,pack_PPO_BipedalWalker20_25,pack_PPO_BipedalWalker20_5,pack_PPO_BipedalWalker23_500,pack_PPO_BipedalWalker23_250,pack_PPO_BipedalWalker23_100,pack_PPO_BipedalWalker23_50,pack_PPO_BipedalWalker23_25,pack_PPO_BipedalWalker23_5
30,75.25763289340289,89.98177230777061,94.610763618528,108.3009973677859,98.1653766077524,179.8302658417728,92.58902509797367,120.77147943649068,124.37862920443148,127.5979965884902,145.38563153039897,163.48739646484609,111.35488303479416,142.354012504421,159.98223909093053,163.14708783011855,166.9388749401993,225.8292787506478,5.538119988084567,16.180584988432297,39.677217787163535,59.75075693875027,66.06989235742367,45.88649874033872,13.628766718961677,46.677033739269184,72.30867863151441,82.46724950507225,83.40999970893026,89.19086070018821,53.56064824256688,78.01555219820627,88.30229785661854,103.7165519987,112.94926529681544,161.78834556147922,93.36318426309326,111.0481721945571,126.42591054194185,130.9787750149812,137.76644591645862,157.96667922803607,65.07990482076409,89.78260081675253,108.30287252444396,116.57937220424763,124.7134808143298,120.50590964814182,6.115254475685982,36.024616352675686,47.87395615480055,47.32111523637664,43.95895961278816,52.86260224427097,15.465553607307823,43.40356848540349,50.07495372352001,58.33855169641203,62.15324749898864,98.60374109366094,-2.5607797375246446,28.68780551745338,46.969270008451495,52.550846590861326,52.85454197264043,90.01947613012744,88.63155901061111,108.93209741550066,116.25887916987048,126.94514544591976,137.2065240192716,143.55245294436463,79.32990770517185,90.96893639617215,101.70210213363578,103.1515763611428,105.42875944415108,120.1902427408495,72.971023630488,96.94747070735632,109.2155126871296,117.7283714366138,144.01310772483004,126.46298561629374,91.16701413881096,120.06076883643354,130.6128230797172,132.60347715245445,158.188032056354,157.85881088945317,56.65924770393028,82.108233120138,92.8774685806944,102.18582567303442,104.15377015228384,148.1403755615698,8.31628171821477,25.39697841514973,35.22295899684425,55.84688306103693,61.55698757119477,76.4528169482248,6.440631784118653,22.4591831486554,30.42330494126392,38.71753256717522,49.99147243807209,60.6361286874162,-9.63559135896596,13.34579985457752,35.32269768786471,41.0048929968389,52.59661825155956,75.21096937637776,80.8286153012866,100.94317371379792,119.74818756754657,123.20378677267,124.51630291224224,125.71441357205622
31,82.72612349356615,97.39167290457613,114.33190709763149,118.17557245144444,131.05179313718807,179.8302658417728,100.65698242155838,120.77147943649068,124.37862920443148,127.5979965884902,151.0925199086545,194.9804092478822,125.17094347402032,154.01883412894415,166.93182658487393,170.0432297927898,166.9388749401993,225.8292787506478,13.235409496716484,25.785140245084825,62.58818903566484,59.75075693875027,66.06989235742367,104.60890499467496,25.31789163401007,59.91758502140009,77.74128039489646,82.46724950507225,83.40999970893026,128.814781431295,66.0690234556132,89.62213276947115,113.70714000011824,127.51872797415882,138.5988117475342,161.78834556147922,100.8249200342226,124.33973333204368,139.3144358065455,154.01592288541752,137.76644591645862,157.96667922803607,73.99930683353904,101.08201878899172,115.17279175376112,124.7343683505198,126.79219284438062,138.8780757580069,15.912761821986011,46.19560714441954,53.5689122860317,60.404341843307485,73.59492465461022,68.63972353007412,26.617085415429187,51.320187614207214,54.92597093323595,58.33855169641203,62.15324749898864,98.60374109366094,5.430353719036488,34.99706031624848,46.969270008451495,52.550846590861326,52.85454197264043,90.01947613012744,96.7900110797422,108.93209741550066,116.25887916987048,126.94514544591976,137.2065240192716,143.55245294436463,88.74958279770513,103.10413544271502,115.99138033454336,127.5330207628518,152.32311774827656,121.98053476689384,80.01039832446577,104.21201959198612,113.99555583094212,117.7283714366138,144.01310772483004,126.46298561629374,100.31687571666296,121.71034452193766,130.6128230797172,132.60347715245445,158.188032056354,157.85881088945317,66.54276684514421,91.27070831893792,104.3691723337122,107.10784995375754,106.35726650974712,148.1403755615698,15.210055031649077,30.873094728934184,43.13387644808903,55.84688306103693,61.55698757119477,76.4528169482248,10.893032493625013,25.53256188014918,36.32241322709815,38.71753256717522,49.99147243807209,60.6361286874162,-1.6035078096787183,24.608629762880067,36.67287679110603,41.0048929968389,52.59661825155956,101.19796491691378,89.50461199764592,112.00397789734794,127.86332901959322,131.52326689344977,161.4047911359166,185.42574425594935
32,89.85698258428349,106.0402917559683,133.78835309802523,135.6910360761592,144.24605473526054,179.8302658417728,110.36982220468924,123.46919174837926,133.67439416160255,146.69754749920858,151.0925199086545,194.9804092478822,136.55012878699475,166.43938714345154,182.26068478792672,181.2645882695599,187.03440438780584,235.72189261647875,22.96081495154797,45.96784833614662,71.5179288124328,86.02016056600027,92.05441073881812,136.58733245041222,32.44636338879386,61.29755052474604,77.74128039489646,82.46724950507225,83.40999970893026,128.814781431295,76.97788479396756,100.2003756050411,133.34233482196868,135.30722041009344,139.30525092064752,161.78834556147922,110.90168398727944,138.34941420906347,156.72913876362742,163.798631884582,172.68742882451508,207.5859148672549,82.41526181888807,113.37474207274768,128.15408216202368,126.50455828254984,126.79219284438062,138.8780757580069,27.76040852235977,52.87433462352765,60.49963384461749,60.404341843307485,73.59492465461022,68.63972353007412,34.99676127379712,54.67342299026355,62.47738243210392,67.05615436762223,82.98713892548578,104.0969527157722,15.200517199136447,43.92395764762847,47.8018656833125,57.61943205286254,64.05863247511617,120.0669105951907,105.63678126319914,114.99787778447488,130.15628341673974,144.09809160341362,138.15690643377545,143.55245294436463,96.5049151068369,114.15476468445902,138.32433427278696,152.29155538325577,170.75664157210616,183.7813189368229,90.7710888480224,113.70092594470024,125.89208209370352,131.32502445612278,158.29478952695382,126.46298561629374,107.89922748758062,121.71034452193766,130.6128230797172,132.60347715245445,158.188032056354,157.85881088945317,73.55748922144295,93.76008132067946,104.3691723337122,107.10784995375754,106.35726650974712,148.1403755615698,22.47447581065767,39.13241133930868,49.827665183750106,65.48896709884633,74.75142169046448,76.4528169482248,19.87022888072548,33.285193769448725,36.32241322709815,50.85230199667742,51.17759575857316,60.6361286874162,8.180733002886933,34.57198872428306,43.999496448515856,53.18298784672792,52.59661825155956,111.0837302566506,99.4946165471595,124.38451874074684,145.4319475854312,164.94693612773932,172.36381666611646,194.02072225918528
33,95.8054576789713,114.77721728232213,133.78835309802523,135.6910360761592,144.24605473526054,179.8302658417728,117.4842609318051,131.03727941216448,146.5183564491477,146.69754749920858,151.0925199086545,207.07758897004533,146.97057030665553,172.1385250627526,182.26068478792672,181.2645882695599,187.03440438780584,235.72189261647875,32.55493854283897,63.59325321853981,92.40900200500764,104.97246785516909,113.56562590198824,136.58733245041222,41.4647170370204,68.3561578880242,77.74128039489646,82.46724950507225,83.40999970893026,128.814781431295,88.00399351906195,113.31131508453896,141.1238359807503,136.91069236396493,143.0616716942721,179.4033787974593,121.06345900094496,150.76344664902024,176.19298070474122,188.88046198353928,191.820411624976,222.6408697368228,93.29320009845274,121.74277434582636,131.83010635373736,132.29651651218649,134.06109915602255,175.4196579788928,37.883062727670286,58.96194314396527,66.4999600208558,73.65835295533878,98.75052911977284,135.09706707890146,43.720108162494014,61.12804243741126,74.36822042713233,89.15703575689578,82.98713892548578,104.0969527157722,24.557145000835195,49.78359340784108,60.6061282479312,60.07172817563027,64.05863247511617,120.0669105951907,115.42414632339674,126.7259259758314,154.9870301705152,157.42081477804402,177.5648133847257,196.5153583733016,105.75706254339973,125.6318565690894,149.0977606916953,152.65164219718076,170.75664157210616,183.7813189368229,102.65775440288468,127.53539418038898,153.81248893638724,172.5101297812705,167.47517780179857,169.23456110155675,117.41331827783428,132.48668964938318,139.04700827303125,159.8034696783501,175.4897069654474,228.68144106438848,80.04458909152919,95.88120578989265,104.3691723337122,107.10784995375754,106.35726650974712,148.1403755615698,31.905959045553065,47.32586688325212,61.67224979618069,65.48896709884633,74.75142169046448,76.4528169482248,23.6613992489065,35.15603104998992,38.86392637627228,50.85230199667742,51.17759575857316,60.6361286874162,17.343880616149516,42.50020140385069,50.29422544065739,55.6763192870171,58.265787326525896,111.0837302566506,108.84242143855954,137.52292503298696,157.46976066737508,164.94693612773932,172.36381666611646,194.02072225918528
34,100.36678353084736,122.57410392328823,133.78835309802523,135.6910360761592,144.24605473526054,179.8302658417728,123.5313610206814,131.03727941216448,146.5183564491477,146.69754749920858,151.0925199086545,207.07758897004533,157.86635678859912,180.5456283132041,197.6763220741265,204.3346073215286,217.24426408380504,258.9594063412398,42.96784454438958,80.51035734139138,114.61948438183462,117.86986079194408,123.03390378362384,152.20777097428217,51.065644591869294,68.55197790520464,77.74128039489646,82.46724950507225,83.40999970893026,128.814781431295,98.57009294748234,126.68795922594482,141.30351925354304,145.7252848304392,146.8138658510562,188.38965559304924,129.01046704430507,159.45252522843953,183.9702064679211,188.88046198353928,191.820411624976,222.6408697368228,100.86575724249194,127.51579182412766,140.53463583367906,147.7772330375231,144.89724836163106,175.4196579788928,48.3836240429581,68.38774672767642,86.08856618444057,101.71703216713912,98.75052911977284,135.09706707890146,52.544864554139885,70.66199066564836,87.13075696028187,89.15703575689578,112.74517728447216,104.0969527157722,34.014805343629895,53.31824052881164,64.11792885589152,62.08927774159092,64.05863247511617,120.0669105951907,122.83536621856204,138.55824238786352,159.85804622421855,168.39763872872282,177.5648133847257,196.5153583733016,111.82734644913867,132.19598850712617,149.0977606916953,152.65164219718076,170.75664157210616,183.7813189368229,111.84718103403787,136.232022967717,158.89341637120145,172.5101297812705,167.47517780179857,169.23456110155675,127.42676489298697,139.5574897273575,171.72024847581707,184.7608100273937,193.01366460568727,239.6468816606328,88.58194827679615,105.38119167969116,117.03467795616169,131.2835139106518,134.49166528192845,161.31070092234296,38.50341926635462,57.27721403850064,61.67224979618069,79.14490686532925,76.42467469748576,76.4528169482248,33.420132801104764,45.08263243502499,50.55131463912952,85.46925450443283,86.12598282825478,88.69438262931071,25.09590059342893,45.324621491798666,50.60654338905006,55.6763192870171,58.265787326525896,111.0837302566506,116.22211420474524,144.28103490711493,159.20667580112334,164.94693612773932,172.36381666611646,194.02072225918528
35,110.91806729604713,135.79731611149526,144.40999044337033,169.166856490027,165.00914704275144,190.01071494674545,128.19478583205057,135.85766382695402,146.5183564491477,146.69754749920858,151.0925199086545,207.07758897004533,167.11929392479607,194.4067630788577,206.05114379453764,213.79870454043325,253.13159010872243,259.7309138601413,54.82757974005633,95.13317095126956,125.02346570874012,133.25699302004185,123.25232601630267,159.27885387190616,63.78975429998007,79.21318440751365,99.93999302669616,131.32033014495536,135.31174997125112,128.814781431295,106.49597122648288,138.55343666417332,147.21106870951917,149.6143949027281,146.8138658510562,188.38965559304924,138.06282995404737,169.0910176858549,183.9702064679211,188.88046198353928,191.820411624976,222.6408697368228,110.6906596535825,132.60500848016002,140.53463583367906,147.7772330375231,147.10817371445708,227.24965122255963,55.09115876274214,73.04750874797948,86.08856618444057,101.71703216713912,98.75052911977284,135.09706707890146,60.883916094644576,79.11537025161267,91.30894818498768,101.51613506730092,112.74517728447216,138.78786496401298,45.00209283382782,61.555647667167534,69.78142360062324,75.92705545463949,74.27055568945826,120.0669105951907,128.88910038455626,148.91293776609638,171.05886463782255,170.9298408058402,177.5648133847257,196.5153583733016,113.4529849357455,134.2259238677199,149.0977606916953,152.65164219718076,170.75664157210616,183.7813189368229,120.9126700090803,147.92997459002106,159.75813530236454,172.5101297812705,173.25568138881354,169.23456110155675,136.51337651360566,152.76049556973942,188.25076384146465,200.56907225120813,193.01366460568727,239.6468816606328,95.46926453484969,108.03855735885064,123.44205545981102,131.2835139106518,134.49166528192845,161.31070092234296,45.61360484710141,63.9249651253145,82.2497684027307,85.35462994013214,101.87813993862132,76.4528169482248,40.64621900864166,52.54838231027596,87.17511306919387,85.46925450443283,86.12598282825478,89.35223147248617,35.4214108481507,57.223657767581,65.5201575454093,78.02722095197096,80.32063129858871,111.0837302566506,125.77319006203062,155.3864770593323,172.1051422480437,176.023759702745,188.244141568254,194.02072225918528
36,119.02053491594144,144.45400323259983,167.75887782901015,172.00394275218017,165.00914704275144,214.5590646005701,131.6630421755915,144.75911613394896,146.5183564491477,158.77412794089642,151.5946617672895,207.07758897004533,178.333513678701,202.4194614305849,222.23088877885544,230.657269939463,253.13159010872243,266.776929170487,65.24041702600228,110.0140102067796,134.72141543855048,139.5372135660978,144.80039503226988,159.27885387190616,72.81176742558206,86.20504015387088,118.1281771707705,131.32033014495536,135.31174997125112,128.814781431295,117.33913849691945,150.6529957147538,164.48523655837604,171.7736605357792,184.10102282888136,188.38965559304924,147.62858634158337,175.17270455345547,183.9702064679211,188.88046198353928,195.81437528798705,246.30869423514235,122.05944440987996,143.59719470665115,155.85334635341772,188.53245702943067,165.2882469743467,227.24965122255963,62.8144894357488,80.45025996884826,86.08856618444057,101.71703216713912,98.75052911977284,135.09706707890146,69.36982447916135,89.18715806247393,108.35513904136562,120.81180782575626,112.74517728447216,138.78786496401298,52.113539591806,69.00223033548828,80.53174868944566,80.63004740697798,96.8842622296186,120.0669105951907,135.36548513807054,164.61137314130255,181.7736412195556,186.5553403210844,190.86301480715048,196.5153583733016,120.59377028053396,142.14174169376594,149.0977606916953,152.65164219718076,170.75664157210616,183.7813189368229,130.87748923780217,160.2106809231781,174.03617072498253,193.9757761792472,199.56196132354205,230.2604636958451,141.03821929736205,161.51074903722974,188.25076384146465,200.56907225120813,193.01366460568727,239.6468816606328,103.72077552003664,115.23939144357414,132.4519322350755,147.26754225102312,136.72657248046133,161.31070092234296,54.95004261152188,75.31484831696737,89.23619578698708,87.26886155493673,105.30895387960132,76.4528169482248,49.70441608631499,68.36929742065757,87.79515629283327,87.52930391152506,96.30544441259468,106.85971761281834,43.8444681781416,61.38315552479229,78.22625313911048,78.02722095197096,82.86536997236544,146.45912514497758,137.14565087294147,170.98750280238687,181.4456184926157,184.13684293090424,199.0250502778508,218.1109417458123
37,125.16437244333416,147.4184118801184,167.75887782901015,172.00394275218017,165.00914704275144,237.7182467708364,134.82776908079154,146.1863464132038,156.3039134181896,158.77412794089642,173.73676206781064,207.07758897004533,189.71221443465973,215.7809769510021,235.33789731968776,239.7243871233211,253.13159010872243,266.776929170487,78.19494469787277,124.41558769484982,144.06303436749062,147.3105097608152,157.10348412899998,159.27885387190616,82.28790799191566,103.53778837032516,126.96416514743936,131.32033014495536,135.31174997125112,128.814781431295,125.1635478825901,154.21992264183424,165.95983828900978,171.7736605357792,184.10102282888136,188.38965559304924,157.63759095892854,185.54720639714924,191.79928783462407,213.5645927100408,202.42605708915275,246.30869423514235,131.29386194809865,151.85855134751623,180.83632456764784,188.53245702943067,165.2882469743467,227.24965122255963,72.24562342796996,91.84072610770004,107.80593187901772,118.05075641630218,125.99125029629796,138.51949901343323,75.02725918384785,98.58778490147732,112.07931562001336,120.81180782575626,112.74517728447216,147.2246804395225,58.762671735648695,74.1321339669451,81.33272085909238,80.63004740697798,96.8842622296186,120.0669105951907,142.35967532755313,172.97740283528267,186.02187055826013,186.5553403210844,208.44225162832183,226.7638214136241,127.33733489891613,142.90284283707248,152.352031699266,154.79800748856388,170.75664157210616,183.7813189368229,140.5190404784885,170.07632156822456,182.7874823131359,193.9757761792472,199.56196132354205,230.2604636958451,147.45575447053463,175.02080331601923,188.25076384146465,200.56907225120813,200.2126096073212,239.6468816606328,112.96579549294516,132.49457964357794,159.0909759486138,170.91440964620443,170.9229041754431,223.16507522142493,59.57795065733538,75.5400028421306,89.23619578698708,87.26886155493673,105.30895387960132,76.4528169482248,55.5062933356747,77.28362251946561,87.79515629283327,87.70162946295692,96.30544441259468,106.85971761281834,52.38285285081752,69.53192514658726,85.94522206346097,100.6076019580703,110.0687689054024,146.45912514497758,148.36103496957756,178.49428558308625,191.65727186566016,199.2226796709612,206.06928873704047,218.1109417458123
38,135.90979199679816,155.298490510486,171.67839202460425,180.85160449495888,198.865670860752,237.7182467708364,135.37723888696968,146.1863464132038,156.3039134181896,158.77412794089642,173.73676206781064,207.07758897004533,196.67558029413863,221.21263552552475,235.33789731968776,239.7243871233211,253.13159010872243,266.776929170487,92.39716404339616,132.46010837840032,144.06303436749062,147.3105097608152,157.26980184563436,188.0374626479112,87.7510157720162,107.93121632968338,126.96416514743936,131.32033014495536,135.31174997125112,128.814781431295,135.2365464256854,160.51296245089702,165.95983828900978,171.7736605357792,184.10102282888136,188.38965559304924,166.53573679639774,190.908283009106,206.18609153199912,213.5645927100408,213.85418867896544,246.30869423514235,143.1842445155495,165.4310660600008,187.3848399876614,206.47026371022687,184.83150873665,227.24965122255963,79.1978751505227,101.54429901721213,118.495961844002,123.71695490123122,129.43578221627743,138.51949901343323,81.89617156737161,104.4546881469299,114.68578796087968,129.0958409736969,147.38713881978066,161.66406331466277,66.68371488073839,83.13596442921256,96.41838880377968,114.39570499487688,128.06295784460846,165.10813866890967,150.86694947643923,184.3544210588593,195.7854642046809,208.6195793724936,224.73856934348703,226.7638214136241,133.68689409912895,146.46653401807978,159.31424199462694,165.7096817458258,170.75664157210616,183.7813189368229,149.99988619536734,177.7874217098398,192.70802465514447,211.15688734260388,206.6565836992557,240.8396832762053,158.1043598733553,186.00483669071733,196.38279772997004,213.53767831086185,207.20705308449223,239.6468816606328,120.95746433511282,146.69051483059118,178.36120051725476,190.12324301899645,205.29452464098344,242.8737084965804,71.52227727810732,92.86778698336042,102.8309833647337,130.66915845779528,136.54015551351245,129.1440802494937,66.42971599220691,98.45184986956404,109.29498286509158,138.9960311517556,155.77094006878323,165.6964644559659,61.07816710219844,79.0016113529859,100.56976827578676,100.6076019580703,117.25020578628757,153.19719317316776,159.759801282578,187.8453078494319,204.674933771591,213.66688563187404,234.27271660494443,218.1109417458123
39,148.2635516274639,174.60708884094743,200.3333698721105,205.93893711785728,232.86068826233736,250.2827545115492,138.83907483477728,147.55077290061092,156.3039134181896,178.39488989222562,173.73676206781064,219.85647502110805,204.12546329423284,224.8164115514901,235.33789731968776,239.7243871233211,263.0518395009678,270.74814065077805,106.68266103397424,141.14281894973013,146.32489961235348,161.92224843327597,158.71892169018977,195.0346527868998,92.61740163232436,116.80064239555138,126.96416514743936,131.32033014495536,135.31174997125112,132.46450061963407,144.68638015709575,169.88555575612455,176.1116240316846,182.9624288398936,197.9180596211192,253.0640430330997,176.17896151152186,199.5301406789819,215.8982813786116,221.41456912930707,247.1450602370361,254.1761646333849,154.35868883908674,180.44931349218703,212.9584857268774,219.44670774352795,213.69332947646967,231.6388215030544,86.81629392071875,107.88396901562054,129.66102648454455,134.44340730681608,139.7141252771695,138.51949901343323,87.70943537285991,109.05744600455004,115.2492905219589,129.0958409736969,147.38713881978066,161.66406331466277,72.57142844157512,91.4484768011046,105.3622240982615,114.39570499487688,128.06295784460846,165.10813866890967,161.35573338858225,193.34450470017043,215.6104887566746,220.4627411288448,235.95330478290327,226.7638214136241,141.5218348493969,151.58604555867254,171.5438327022738,177.07500089083624,170.75664157210616,183.7813189368229,161.43904216248643,188.9917435707687,217.1577799032416,223.1949209965248,226.3896762557444,252.85298461117785,167.99425624651133,197.6528267647187,225.3836436706412,229.7849395394704,240.9901078401076,239.6468816606328,128.59979098697633,153.62471262505466,178.36120051725476,190.12324301899645,205.29452464098344,242.8737084965804,81.0553390308099,104.37957600784988,138.57825447281968,153.6254077353148,149.71782233618433,163.50948605055456,75.26825237904902,103.87323973865696,131.05772424269017,138.9960311517556,155.77094006878323,165.6964644559659,70.21878920012011,94.3161164089918,112.60341633512029,121.1102012982848,118.02766429146985,153.19719317316776,170.4825538220992,198.9315733678153,221.8682857895912,226.5090388787436,238.0171842923807,218.1109417458123
40,157.5953180765391,185.71495911207043,208.51773549148203,212.05645233787595,232.86068826233736,250.2827545115492,146.71855070726818,157.57943758758233,178.8282618481922,185.70364781189244,202.5912428356056,219.85647502110805,214.2356175608105,234.57445775472303,248.38154810479463,254.13431150647085,263.0518395009678,270.74814065077805,117.82346110278084,145.00433004200784,156.22232492523122,161.92224843327597,172.0738705709565,207.38645419532548,96.68363144688928,116.80064239555138,126.96416514743936,131.32033014495536,135.31174997125112,132.46450061963407,158.05155808436874,177.05099610406197,188.02791679659683,200.5909479084308,201.11505814879783,260.4193824260263,185.51240989720264,203.0165396797224,218.2869936176876,221.41456912930707,247.1450602370361,254.1761646333849,165.1052227858589,199.30407462615264,221.3744560275585,229.664202308479,240.98569097127063,260.868703983014,94.63538255037471,117.49783832400148,132.0219108072889,134.44340730681608,139.7141252771695,138.51949901343323,93.42809376970636,112.04919930844736,115.2492905219589,129.0958409736969,147.38713881978066,173.41367921852506,80.00980946975946,98.4639712723514,112.7334932260374,114.39570499487688,128.06295784460846,165.10813866890967,172.7272048067252,205.53867086493125,228.45548551266344,234.8289695133455,246.55288643759675,252.060049560084,150.75050602662907,165.00955067442442,184.0960900499663,192.9042808508664,202.38927790139337,183.7813189368229,174.47244835206442,205.55264982920096,229.3341461474392,244.27991434670145,233.88923411409127,256.2087467376259,177.43231880532002,204.2104279354873,229.73815126525355,229.7849395394704,240.9901078401076,239.6468816606328,137.23741657793866,169.39417379764316,186.67272998052155,202.6806722152856,205.29452464098344,242.8737084965804,89.3673652652092,113.25684991834092,150.5369268558966,153.6254077353148,153.34858542626492,177.2645354444161,83.5828648284674,117.49606806199355,144.3133461474703,156.30931723819376,155.77094006878323,177.28142463197,78.18803273177645,103.66124731831684,126.0352027963032,121.1102012982848,121.52657073010458,169.27641924928176,178.8910126625848,206.362279667906,221.8682857895912,226.5090388787436,238.0171842923807,260.68833248026203
41,168.0347673012694,196.044192583306,221.54289876444005,220.0772151240631,232.86068826233736,250.2827545115492,155.59424078657747,164.21083623289974,198.60601966355404,206.7114646720316,227.1860952913854,228.3278778800508,221.8871717416941,235.8124765234748,249.9329957551272,254.13431150647085,263.0518395009678,270.74814065077805,128.00235029408873,155.2138484043599,169.38538688768233,192.1123849796127,182.84589684773644,207.38645419532548,104.20196575691811,116.80064239555138,126.96416514743936,132.65508253103965,143.93071248156076,202.3471040535631,169.5674393567554,189.0037644828384,217.84474387394468,235.51188734498515,247.707142000139,262.6694965578499,195.52376843032448,218.31919467018497,235.48161205236767,248.62935408630992,263.46835130199906,263.2540556953289,175.09968923307676,209.5397387662216,232.74179532890733,235.59688224449167,245.5754566164245,267.79686128660103,102.36028308722186,127.01175572938564,132.5955682577748,134.44340730681608,139.7141252771695,138.51949901343323,99.38247530400888,112.15598362625798,115.2492905219589,129.0958409736969,147.38713881978066,173.41367921852506,87.30181767509086,106.017611717259,121.18437684223856,124.28272285975864,142.0967236474692,165.10813866890967,184.54837225568352,215.3697741576213,242.0038629721693,250.3272366231901,252.0040583696787,257.93607036611064,158.4288506042511,176.74181242684276,193.47294882797112,194.92928345469875,202.38927790139337,190.8131824001204,182.5768455653937,213.10717890884385,230.0372414706489,244.27991434670145,233.88923411409127,259.82628398412487,186.84588815379328,217.35090623496072,229.7878024622464,232.2173359543085,240.9901078401076,239.6468816606328,149.71270632624504,185.8443953557728,213.7799255338728,223.24422174450592,232.38441580254351,255.3454568969552,99.73921902129108,128.87497642104387,154.81778034201707,162.98244965387158,153.34858542626492,187.0383970747004,94.92357888217654,124.65059502872464,144.3133461474703,156.30931723819376,155.77094006878323,177.28142463197,86.82550752040477,115.13164501945104,127.6656275702003,141.21690602875955,130.80414230886498,169.27641924928176,189.0624575371639,214.822175055506,221.8682857895912,230.34062566361564,238.0171842923807,260.68833248026203
